C_FLOPs,g_type,Lctx,Q0,delta,recipe,N,D,Q,L_total,L_classic,L_quality,L_recipe,s_train,s_attn,s_quality,regime_Q,beyond_B1
1e+21,log,4096,0.5,-0.2285239529866762,empirical_best,1343239149.6861334,96412602591.86073,1.0,2.25243409019073,2.355302289554234,0.0,-0.10286819936350376,0.7770310939471087,0.10609064536024523,0.11687826069264604,ceiling,False
1e+21,log,8192,0.5,-0.2285239529866762,empirical_best,1270013932.3807328,91632605062.96838,1.0,2.2622180510625873,2.366412485235083,0.0,-0.10419443417249576,0.6982481105418668,0.19066828405196573,0.11108360540616746,ceiling,False
1e+21,log,32768,0.5,-0.2285239529866762,empirical_best,997000934.7905859,72842642004.91394,1.0,2.3075172329629754,2.417637014340522,0.0,-0.11011978137754663,0.43574509302909115,0.47594984027924203,0.08830506669166671,ceiling,False
1e+21,log,131072,0.5,-0.2285239529866762,empirical_best,638354773.9312112,45921087766.47924,1.0,2.4051836949666128,2.5271150002716767,0.0,-0.12193130530506409,0.175883673599077,0.7684474955326073,0.05566883086831579,ceiling,False
1e+22,exp,2048,0.5,-0.2285239529866762,empirical_best,3792450914.871736,355346757595.48706,1.0,2.0733331179127408,2.1544796877351726,0.0,-0.08114656982243187,0.8085810815638259,0.055199135168090524,0.13621978326808357,ceiling,True
1e+22,exp,4096,0.5,-0.2285239529866762,empirical_best,3676621588.8322434,345960301938.44855,1.0,2.0769436504852377,2.1586674633394165,0.0,-0.08172381285417891,0.7631790689914929,0.1041993822196385,0.13262154878886875,ceiling,True
1e+22,exp,8192,0.5,-0.2285239529866762,empirical_best,3474452811.1303983,329243114099.9227,1.0,2.083665672910977,2.166452596397345,0.0,-0.08278692348636779,0.6863637979978818,0.18742307443995493,0.12621312756216344,ceiling,True
1e+22,exp,32768,0.5,-0.2285239529866762,empirical_best,2722363013.6235037,263096351698.5365,1.0,2.114824993795203,2.2023579626259515,0.0,-0.08753296883074864,0.4297462661300262,0.46939752161829,0.10085621225168395,ceiling,False
1e+22,exp,131072,0.5,-0.2285239529866762,empirical_best,1738764252.1805038,167093647494.04138,1.0,2.1821688121457035,2.279145308810627,0.0,-0.09697649666492364,0.17432187661745374,0.7616239004000966,0.06405422298244982,ceiling,False
1e+22,pow,2048,0.5,-0.2285239529866762,empirical_best,3899892848.904281,336878948281.542,1.0,2.0753299803223766,2.155960146025738,0.0,-0.08063016570336132,0.7882750808097484,0.05381291218327883,0.1579120070069728,ceiling,True
1e+22,pow,4096,0.5,-0.2285239529866762,empirical_best,3778450857.8763676,328369350977.8686,1.0,2.0789032376742234,2.1601184191866096,0.0,-0.08121518151238613,0.7444364735415802,0.10164039318754374,0.15392313327087592,ceiling,True
1e+22,pow,8192,0.5,-0.2285239529866762,empirical_best,3566729852.9829073,313169308293.3268,1.0,2.085558073034291,2.1678505762146765,0.0,-0.08229250318038565,0.6701941925566898,0.1830076941808134,0.14679811326249692,ceiling,True
1e+22,pow,32768,0.5,-0.2285239529866762,empirical_best,2781874420.546519,252461252795.8316,1.0,2.11644034833672,2.2035418172511316,0.0,-0.08710146891441173,0.42138930079911135,0.46026948695284275,0.11834121224804607,ceiling,False
1e+22,pow,131072,0.5,-0.2285239529866762,empirical_best,1764041748.1439953,162561853893.68793,1.0,2.1833395792538655,2.279996747402589,0.0,-0.0966571681487235,0.17205953815449002,0.7517395928328438,0.07620086901266622,ceiling,False
1e+22,log,2048,0.5,-0.2285239529866762,empirical_best,3425165582.3386745,431663130824.9001,1.0,2.0666475385993803,2.149705200171897,0.0,-0.0830576615725165,0.8871106193196027,0.06056008494555155,0.05232929573484584,ceiling,True
1e+22,log,4096,0.5,-0.2285239529866762,empirical_best,3329345073.352274,418134641022.68353,1.0,2.07039690253263,2.153994875249577,0.0,-0.08359797271694681,0.8352687042520758,0.11404202042055007,0.05068927532737397,ceiling,True
1e+22,log,8192,0.5,-0.2285239529866762,empirical_best,3161170431.035093,394344223227.8951,1.0,2.077367575396264,2.1619616658845913,0.0,-0.08459409048832715,0.7479535788705144,0.20424119060357512,0.04780523052591044,ceiling,True
1e+22,log,32768,0.5,-0.2285239529866762,empirical_best,2523743500.0121746,304003685901.69995,1.0,2.109531140036876,2.1985926972853966,0.0,-0.08906155724852056,0.4603363957644948,0.5028101005470322,0.03685350368847296,ceiling,True
1e+22,log,131072,0.5,-0.2285239529866762,empirical_best,1656714576.4841535,183209448857.2849,1.0,2.178419569005902,2.276473248741563,0.0,-0.0980536797356613,0.18211545868289516,0.7956745800161479,0.022209961300957013,ceiling,False
1e+23,exp,2048,0.5,-0.2285239529866762,empirical_best,9216356115.434332,1589658603807.686,1.0,1.9475143294025314,2.0137576895927025,0.0,-0.06624336019017119,0.8790515876793462,0.060009921718910036,0.06093849060174384,ceiling,True
1e+23,exp,4096,0.5,-0.2285239529866762,empirical_best,8957935439.584799,1540371933438.354,1.0,1.950094086828593,2.0167693788059315,0.0,-0.06667529197733858,0.8279131399613513,0.11303774070938984,0.05904911932925888,ceiling,True
1e+23,exp,8192,0.5,-0.2285239529866762,empirical_best,8504551685.967445,1453602459523.2124,1.0,1.9548915025414721,2.0223628879085256,0.0,-0.06747138536705342,0.7417342348718737,0.202542895069013,0.0557228700591132,ceiling,True
1e+23,exp,32768,0.5,-0.2285239529866762,empirical_best,6788124256.30031,1122979390803.426,1.0,1.9770459740858035,2.0480842638905985,0.0,-0.07103828980479504,0.45737541852228497,0.49957592380460775,0.043048657673107185,ceiling,True
1e+23,exp,131072,0.5,-0.2285239529866762,empirical_best,4457830495.728045,678243067253.0591,1.0,2.0245768446379553,2.1027804843374147,0.0,-0.07820363969945954,0.18140955772300887,0.7925904516623408,0.025999990614650626,ceiling,True
1e+23,pow,2048,0.5,-0.2285239529866762,empirical_best,9342703298.88219,1548695051739.4314,1.0,1.948107550786744,2.014145111200518,0.0,-0.06603756041377419,0.8681399021309106,0.05926501731880351,0.07259508055028585,ceiling,True
