Q0,g,C,N,D,Q,L_total,L_classic,L_quality,L_recipe,s_quality,s_train,s_attn,regime_Q
0.5,pow,4.2169650342858226e+21,2611483536.529363,171177409166.24744,1.0,2.150904280322224,2.23927299007047,0.0,-0.08836870974824643,0.19027762832818385,0.6360408239985987,0.1736815476732174,ceiling
0.5,pow,5.623413251903491e+21,2893575516.203625,209908843437.24588,1.0,2.1278810720118306,2.214202444447718,0.0,-0.0863213724358875,0.17497339418884605,0.64806237364722,0.17696423216393423,ceiling
0.5,pow,7.498942093324559e+21,3210476846.9146895,256721594493.4382,1.0,2.1061273479655407,2.19042276658047,0.0,-0.08429541861492938,0.16047363204194148,0.6594520066700292,0.1800743612880293,ceiling
0.5,pow,1e+22,3566735653.467924,313168873758.5996,1.0,2.0855580730342176,2.1678505456312105,0.0,-0.08229247259699309,0.14679790957434358,0.6701943525547156,0.18300773787094102,ceiling
0.5,pow,1.3335214321633241e+22,3967492144.262568,381084605184.96423,1.0,2.0660950260302373,2.1464091610678597,0.0,-0.0803141350376224,0.133956158762789,0.680281609685702,0.18576223155150906,ceiling
0.5,pow,1.7782794100389228e+22,4418542318.045545,462634652642.73596,1.0,2.047666243582957,2.1260282475637546,0.0,-0.07836200398079762,0.12194933608410609,0.6897130267458321,0.18833763717006188,ceiling
0.5,pow,2.371373705661655e+22,4926430140.406883,560376024310.659,1.0,2.0302055012222895,2.1066430973724066,0.0,-0.07643759615011729,0.11076966096422584,0.6984947154135219,0.19073562362225238,ceiling
0.5,pow,3.1622776601683792e+22,5498532030.203524,677328736099.6377,1.0,2.0136518298391155,2.0881941884725173,0.0,-0.07454235863340171,0.10040163425427975,0.7066388503448787,0.19295951540084155,ceiling
0.5,pow,4.2169650342858225e+22,6143154619.026918,817061211725.7737,1.0,1.9979490659599426,2.070626722657379,0.0,-0.07267765669743652,0.09082300656574453,0.7141629085417802,0.19501408489247543,ceiling
0.5,pow,5.623413251903491e+22,6869681073.000549,983787171923.0604,1.0,1.9830454344708677,2.0538901060602637,0.0,-0.07084467158939597,0.08200539711052501,0.7210891832500065,0.19690541963946848,ceiling
0.5,pow,7.498942093324558e+22,7688622950.347457,1182494839456.539,1.0,1.968893162538631,2.0379377486337678,0.0,-0.06904458609513679,0.07391635367989799,0.7274431658358572,0.19864048048424474,ceiling
0.5,pow,1.0000000000000001e+23,8611918980.953234,1419068092865.6777,1.0,1.9554481235159207,2.0227263465554604,0.0,-0.06727822303953972,0.06651881685307864,0.7332539666529022,0.20022721649401914,ceiling
0.5,pow,1.3335214321633241e+23,9652863392.59913,1700487876753.2031,1.0,1.942669509602837,2.0082160430200005,0.0,-0.06554653341716345,0.059774344303934523,0.7385517823335244,0.20167387336254106,ceiling
0.5,pow,1.7782794100389228e+23,10826533323.443571,2034996401019.6104,1.0,1.930519531977994,1.994369639816835,0.0,-0.06385010783884094,0.05364199560501369,0.7433687717807287,0.20298923261425766,ceiling
