indicator,method,n_detected,detect_rate,mean_shift,sd_ratio,skew_before,skew_after,kurt_before,kurt_after
dsir_wiki,mad,31131.0,0.1142401056861342,839.8968053338131,0.5983879385103446,-18.76687608395971,-4.18310119490046,784.261934092656,19.47117275188155
dsir_math,mad,29016.0,0.10647878020586778,664.8947611054064,0.54949418264892,-23.60966821106612,-3.8241360637483446,1158.3081266914617,16.561642873423786
rps_doc_word_count,mad,36023.0,0.13219206987027762,-113.57959699821981,0.5183111347954483,35.45608029252049,4.030688265771213,3047.6954892540566,17.068783116782487
rps_doc_num_sentences,mad,35190.0,0.12913524522485825,-12.315043760664949,0.4727669869798896,26.416807847900245,3.576113131316225,1274.3994957596767,14.281696157864758
rps_doc_unigram_entropy,mad,0.0,0.0,0.0017854217983810372,0.9864340949021162,-0.2037467252735243,-0.15500902842575195,-0.05371127708367984,-0.3177934984800572
rps_doc_frac_unique_words,mad,0.0,0.0,0.03229799548194734,0.9966229457435792,0.0671046488881996,0.08528079027200901,-0.5546752670966653,-0.5865059816007396
rps_doc_frac_no_alph_words,mad,1271.0,0.0046641346030348065,-0.18260279241006572,0.9074179359507419,1.398841120333259,0.39977695668873553,6.4574546706456974,-0.21409615971073848
rps_doc_frac_chars_top_2gram,mad,7664.0,0.028124254600833013,-0.08906942558282838,0.8805266119598397,4.260907920685415,2.316914132259559,45.360035680150794,6.25425780539797
rps_doc_frac_chars_top_3gram,mad,24319.0,0.08924239922203263,-0.09157889614994552,0.8618481817930402,5.971501512928552,2.560338086102369,129.02202125400981,7.591336050233661
rps_lines_uppercase_letter_fraction,mad,77.0,0.0002825636226858223,-0.06212951026392588,0.9806906491687803,0.67736483980899,0.5483639872412215,0.5373501506503384,-0.055401518217209844
rps_lines_ending_with_terminal_punctution_mark,mad,11320.0,0.041540522192253355,0.0,1.0,1.5553976528287838,1.5553976528287838,2.3881323409081663,2.3881323409081663
rps_lines_numerical_chars_fraction,mad,14615.0,0.05363204344874406,-0.07528352269695904,0.8209730973613568,5.206783809043808,2.41807726079991,52.618990854918444,6.678464285521825
rps_doc_mean_word_length,mad,1683.0,0.00617603346727583,-0.045461968757598115,0.9295054854683342,2.340537997977511,1.3346466162107784,15.043738891869243,2.120985573014952
