Model,eval_file_date,raw_ifeval,raw_bbh_accnorm,raw_bbh_acc,raw_math,raw_gpqa,raw_musr,raw_mmlu_pro
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_5e-7_3ep_0alp_0lam_2ep,results_,25.476624245889795,31.730602325985075,,3.8519637462235647,26.51006711409396,34.25925925925926,15.616688829787234
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_7e-7_3ep_0alp_0lam,results_,24.23015376977531,31.921541399062665,,3.3987915407854987,27.01342281879195,35.05291005291005,15.633311170212766
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_7e-7_3ep_0alp_0lam_1ep,results_,24.927082363683915,31.661169935775042,,3.927492447129909,26.845637583892618,34.65608465608466,15.915890957446807
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_7e-7_3ep_0alp_0lam_2ep,results_,24.779695651981186,31.88682520395765,,4.1540785498489425,26.929530201342285,35.05291005291005,15.558510638297873
JayHyeon/Qwen2.5-0.5B-SFT-5e-5,results_,20.09856070781083,30.897413643464677,,3.3987915407854987,26.76174496644295,33.730158730158735,16.722074468085108
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-2ep,results_,21.74718635442847,31.609095643117513,,0.1510574018126888,26.006711409395972,33.5978835978836,16.273271276595743
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-3ep,results_,21.986994507905692,32.772088179135565,,0.2265861027190332,25.335570469798657,35.84656084656085,16.51429521276596
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-5ep,results_,20.77299343519639,32.52907481340045,,2.719033232628399,26.845637583892618,37.56613756613756,15.866023936170212
JayHyeon/Qwen2.5-0.5B-SFT-7e-5,results_,20.925366915340184,31.400798472487416,,3.0211480362537766,25.671140939597315,33.5978835978836,16.22340425531915
JayHyeon/Qwen2.5-0.5B-SFT-7e-5-2ep,results_,21.56234347087949,30.880055545912168,,3.927492447129909,24.24496644295302,33.5978835978836,15.674867021276595
JayHyeon/Qwen2.5-0.5B-SFT-7e-5-3ep,results_,23.805502732749105,31.730602325985075,,3.3232628398791544,23.657718120805367,35.44973544973545,15.217752659574469
JayHyeon/Qwen2.5-0.5B-SFT-7e-5-5ep,results_,21.197644472222592,31.85210900885263,,2.190332326283988,24.580536912751676,37.03703703703704,16.28158244680851
JayHyeon/Qwen2.5-0.5B-SFT-DPO-1epoch_v1,results_,20.245947419513556,32.44228432563791,,3.625377643504532,27.265100671140942,32.01058201058201,13.297872340425531
JayHyeon/Qwen2.5-0.5B-SFT-MDPO-1epoch_v1,results_,19.64144026737944,32.70265578892553,,4.682779456193353,27.600671140939596,32.53968253968254,13.372672872340424
JayHyeon/Qwen_0.5-cDPO_5e-7-3ep_0vpo_const_0.1,results_,23.925406809487715,32.26870335011283,,5.13595166163142,27.768456375838923,32.142857142857146,15.733045212765958
JayHyeon/Qwen_0.5-cDPO_5e-7-3ep_0vpo_const_0.3,results_,24.747226248576,31.921541399062665,,4.607250755287009,28.104026845637588,32.67195767195767,15.66655585106383
JayHyeon/Qwen_0.5-DPO_1e-6-3ep_0alp_0lam,results_,23.163539408768735,32.33813574032286,,5.287009063444108,26.929530201342285,32.142857142857146,15.799534574468085
JayHyeon/Qwen_0.5-DPO_1e-7-3ep_0alp_0lam,results_,23.59816398267707,32.04304808193022,,0.0,27.097315436241608,32.142857142857146,15.957446808510639
JayHyeon/Qwen_0.5-DPO_3e-6-1ep_0alp_0lam,results_,23.370878158840764,31.175143204304806,,3.474320241691843,26.090604026845636,32.27513227513227,15.325797872340424
JayHyeon/Qwen_0.5-DPO_3e-6-2ep_0alp_0lam,results_,25.693936532843964,32.511716715847946,,0.6042296072507553,27.181208053691275,31.48148148148148,15.649933510638297
JayHyeon/Qwen_0.5-DPO_3e-6-3ep_0alp_0lam,results_,24.599839536873276,32.44228432563791,,0.22658610271903326,26.845637583892618,32.01058201058201,15.433843085106384
JayHyeon/Qwen_0.5-DPO_3e-7-1ep_0alp_0lam,results_,25.29178136234081,32.112480472140255,,0.0755287009063444,26.76174496644295,31.878306878306876,15.965757978723405
JayHyeon/Qwen_0.5-DPO_3e-7-2ep_0alp_0lam,results_,25.046986440422526,32.35549383787537,,0.0,27.181208053691275,31.878306878306876,15.990691489361703
JayHyeon/Qwen_0.5-DPO_3e-7-3ep_0alp_0lam,results_,23.87044153955948,32.390210032980384,,0.0,27.432885906040266,31.613756613756617,15.89095744680851
JayHyeon/Qwen_0.5-DPO_5e-7-1ep_0alp_0lam,results_,25.324250765745997,32.02568998437771,,6.3444108761329305,26.845637583892618,32.01058201058201,15.932513297872342
JayHyeon/Qwen_0.5-DPO_5e-7-2ep_0alp_0lam,results_,24.562383365027017,32.8415205693456,,5.362537764350453,27.097315436241608,31.746031746031743,16.015625
JayHyeon/Qwen_0.5-DPO_5e-7-3ep_0alp_0lam,results_,24.225167001334235,32.52907481340045,,0.0755287009063444,27.432885906040266,31.746031746031743,15.949135638297873
JayHyeon/Qwen_0.5-DPOP_1e-6-3ep_0alp_5lam,results_,25.324250765745997,31.261933692067352,,0.0,27.432885906040266,33.06878306878307,15.658244680851062
JayHyeon/Qwen_0.5-DPOP_1e-7-3ep_0alp_5lam,results_,26.695612087040168,31.74796042353758,,4.078549848942599,26.677852348993287,32.804232804232804,15.625
