variant,value,N,D,Q,L_total,L_classic,L_quality,L_recipe,s_train,s_attn,s_quality,regime_Q,beyond_B1,C_FLOPs,g_type
delta,-0.2285239529866762,3566729852.9829073,313169308293.3268,1.0,2.085558073034291,2.1678505762146765,0.0,-0.08229250318038565,0.6701941925566898,0.1830076941808134,0.14679811326249692,ceiling,True,1e+22,pow
delta,0.0,5258512760.852697,222944940991.96082,1.0,1.6307177249777371,2.164223475511217,0.0,-0.5335057505334797,0.7034152903042665,0.19207926860575172,0.10450544108998164,ceiling,False,1e+22,pow
delta,-0.5,4853206690.477869,239473728790.8485,1.0,2.1567186994127465,2.1643768642693355,0.0,-0.0076581648565888435,0.6973293016568572,0.19041738797243246,0.11225331037071024,ceiling,False,1e+22,pow
Q0,0.3,3595299557.8654046,308434104594.0731,1.0,2.086146839158021,2.168289443553631,0.0,-0.08214260439560955,0.6653477999266099,0.1816843058999596,0.15296789417343054,ceiling,True,1e+22,pow
Q0,0.7,3470722502.038821,329921213802.6319,1.0,2.083589050917491,2.1663962997720785,0.0,-0.08280724885458748,0.6870389883868533,0.18760744642883673,0.12535356518430998,ceiling,True,1e+22,pow
recipe,enet_trust_region,2456313027.6636205,426442843434.5299,1.0,2.0135629106136523,2.1783537008971976,0.0,-0.16479079028354546,0.6284862671292921,0.171618650010772,0.1998950828599359,ceiling,True,1e+22,pow
recipe,mean_zero,5258512760.852697,222944940991.96082,1.0,2.164223475511217,2.164223475511217,0.0,0.0,0.7034152903042665,0.19207926860575172,0.10450544108998164,ceiling,False,1e+22,pow
Lctx_crit,30000,2844614803.4839396,257580081833.79172,1.0,2.113517195381091,2.200175863275504,0.0,-0.08665866789441293,0.43962966832020506,0.43962966832020506,0.12074066335958987,ceiling,False,1e+22,pow
delta,-0.2285239529866762,3161170431.035093,394344223227.8951,1.0,2.077367575396264,2.1619616658845913,0.0,-0.08459409048832715,0.7479535788705144,0.20424119060357512,0.04780523052591044,ceiling,True,1e+22,log
delta,0.0,4803648255.879544,263821207590.90887,1.0,1.6244374359065565,2.1579431864400362,0.0,-0.5335057505334797,0.7603825702248628,0.20763513384273585,0.03198229593240133,ceiling,False,1e+22,log
delta,-0.5,4397441005.971959,287342408957.79565,1.0,2.150075453890681,2.158120695554352,0.0,-0.008045241663670892,0.7581427751434651,0.2070235204658422,0.034833704390692756,ceiling,False,1e+22,log
Q0,0.3,3263753933.2831187,371015389318.1852,1.0,2.0794054766878647,2.163384440774031,0.0,-0.08397896408616608,0.7265417617174766,0.19839433706631898,0.07506390121620447,ceiling,True,1e+22,log
Q0,0.7,3084483025.7453403,413267155051.5917,1.0,2.075864260408003,2.160934440797956,0.0,-0.08507018038995309,0.7648293149128214,0.20884939159219443,0.026321293494984303,ceiling,True,1e+22,log
recipe,enet_trust_region,2104812438.803591,578380007050.3065,1.0,2.003080193034546,2.1737906436974597,0.0,-0.17071045066291388,0.7304288599168763,0.19945577401463505,0.07011536606848849,ceiling,True,1e+22,log
recipe,mean_zero,4803648255.879544,263821207590.90887,1.0,2.1579431864400362,2.1579431864400362,0.0,0.0,0.7603825702248628,0.20763513384273585,0.03198229593240133,ceiling,False,1e+22,log
Lctx_crit,30000,2575580787.908378,311339859515.4883,1.0,2.1064984857332294,2.1951471969925054,0.0,-0.08864871125927619,0.48112857640691103,0.48112857640691103,0.03774284718617795,ceiling,True,1e+22,log
delta,-0.2285239529866762,8504551685.967445,1453602459523.2124,1.0,1.9548915025414721,2.0223628879085256,0.0,-0.06747138536705342,0.7417342348718737,0.202542895069013,0.0557228700591132,ceiling,True,1e+23,exp
delta,0.0,13643322486.919825,925526689278.2435,1.0,1.4852408600490223,2.018746610582502,0.0,-0.5335057505334797,0.7576355455244592,0.20688501296454567,0.03547944151099535,ceiling,True,1e+23,exp
delta,-0.5,12670443973.436075,993884116078.6575,1.0,2.0140945719516417,2.018834188296645,0.0,-0.004739616345003273,0.7555771805317602,0.20632294209720595,0.03809987737103387,ceiling,True,1e+23,exp
Q0,0.3,8522369999.3267975,1447784302628.381,1.0,1.9549836442184492,2.0224227663359136,0.0,-0.06743912211746449,0.7403132103729831,0.20215486064584925,0.05753192898116761,ceiling,True,1e+23,exp
Q0,0.7,8444939312.542414,1473334507645.1047,1.0,1.9545836516875956,2.022163582598531,0.0,-0.06757993091093543,0.7465332302482481,0.20385334073978828,0.049613429011963764,ceiling,True,1e+23,exp
recipe,enet_trust_region,5326912195.795133,2246054422799.331,1.0,1.8952373805601792,2.0333092011086897,0.0,-0.13807182054851042,0.7178720818337613,0.19602693647940578,0.08610098168683308,ceiling,True,1e+23,exp
recipe,mean_zero,13643325791.095793,925526473084.3823,1.0,2.0187466105825007,2.0187466105825007,0.0,0.0,0.7576355520344448,0.20688501474220575,0.035479433223349476,ceiling,True,1e+23,exp
Lctx_crit,30000,6927595391.258157,1149893475594.2688,1.0,1.9749558711496351,2.0456647590756036,0.0,-0.07070888792596856,0.4779598045178809,0.4779598045178809,0.04408039096423824,ceiling,True,1e+23,exp
delta,-0.2285239529866762,8611913139.944479,1419068991322.0637,1.0,1.955448123515913,2.0227263569832923,0.0,-0.06727823346737934,0.7332539335712543,0.20022720746052386,0.06651885896822174,ceiling,True,1e+23,pow
delta,0.0,13762719776.220974,910641825346.9592,1.0,1.4856441414612767,2.0191498919947564,0.0,-0.5335057505334797,0.7519744955253937,0.20533916891146753,0.042686335563138715,ceiling,True,1e+23,pow
delta,-0.5,12790569759.853788,976686607360.5366,1.0,2.0145188961583256,2.0192362033621403,0.0,-0.004717307203814732,0.7495426910975922,0.20467512418238257,0.04578218472002516,ceiling,True,1e+23,pow
Q0,0.3,8645594921.496326,1408490137022.299,1.0,1.9556233991099352,2.0228416451637568,0.0,-0.06721824605382148,0.7306341105370593,0.19951182111731966,0.06985406834562093,ceiling,True,1e+23,pow
Q0,0.7,8500243373.560713,1455016160535.633,1.0,1.9548691867411636,2.0223483855483853,0.0,-0.06747919880722165,0.7420794886210059,0.2026371723594427,0.05528333901955138,ceiling,True,1e+23,pow
recipe,enet_trust_region,5419986103.433785,2169784704851.5933,1.0,1.8959959323387552,2.0335222925528464,0.0,-0.1375263602140912,0.705612176864329,0.19267916509575278,0.10170865803991845,ceiling,True,1e+23,pow
recipe,mean_zero,13762715636.254278,910642087584.3147,1.0,2.019149891994761,2.019149891994761,0.0,0.0,0.7519744858696732,0.2053391662748121,0.042686347855514756,ceiling,True,1e+23,pow
Lctx_crit,30000,6997893315.8837595,1127876114946.9468,1.0,1.9754268506948383,2.04597278254489,0.0,-0.07054593185005176,0.47356540355593096,0.47356540355593096,0.05286919288813814,ceiling,True,1e+23,pow
delta,-0.2285239529866762,8158517654.184914,1574052243475.3972,1.0,1.953118945514508,2.0212338634625353,0.0,-0.06811491794802739,0.770515981020204,0.2104022305505837,0.01908178842921237,ceiling,True,1e+23,log
delta,0.0,13264601287.967411,975299543426.708,1.0,1.483972444988518,2.017478195521998,0.0,-0.5335057505334797,0.7762175747935165,0.21195914575694955,0.011823279449534197,ceiling,True,1e+23,log
delta,-0.5,12288386573.981577,1051791434367.9222,1.0,2.012757375597438,2.0175701075307315,0.0,-0.004812731933293381,0.7754891844429362,0.21176024663188445,0.012750568925179513,ceiling,True,1e+23,log
Q0,0.3,8268465402.287908,1534188282356.937,1.0,1.9536783085631815,2.021585173088075,0.0,-0.06790686452489346,0.7611229639958308,0.20783731070179487,0.031039725302374383,ceiling,True,1e+23,log
Q0,0.7,8078796395.206767,1603952502167.3103,1.0,1.9527156571141258,2.020983597381822,0.0,-0.06826794026769614,0.7774803415555286,0.21230396526742965,0.010215693177041804,ceiling,True,1e+23,log
recipe,enet_trust_region,5020202066.0677,2527896406870.9473,1.0,1.8927797888678404,2.0327354708754344,0.0,-0.13995568200759398,0.7614330458747189,0.20792198372685658,0.030644970398424717,ceiling,True,1e+23,log
recipe,mean_zero,13264614295.704575,975298598322.3381,1.0,2.017478195521961,2.017478195521961,0.0,0.0,0.7762175837932271,0.2119591482144706,0.011823267992302263,ceiling,True,1e+23,log
Lctx_crit,30000,6703208655.94591,1224728110835.175,1.0,1.973467266117268,2.0447102085880857,0.0,-0.07124294247081757,0.49257648442383767,0.49257648442383767,0.014847031152324674,ceiling,True,1e+23,log
delta,-0.2285239529866762,21650840192.732635,5909773934382.525,1.0,1.868867657650869,1.9233654959508104,0.0,-0.054497838299941585,0.7677094261709573,0.20963585397308274,0.02265471985596024,ceiling,True,1e+24,exp
delta,0.0,37575952715.23264,3438155948966.278,1.0,1.3864557433155158,1.9199614938489955,0.0,-0.5335057505334797,0.7751519121957161,0.21166814882357687,0.013179938980706957,ceiling,True,1e+24,exp
delta,-0.5,35238171935.91336,3663048141787.4385,1.0,1.9171650451667142,1.920007099784464,0.0,-0.002842054617749864,0.7744747213790023,0.21148323058455956,0.01404204803643826,ceiling,True,1e+24,exp
Q0,0.3,21669294882.954075,5899964909274.225,1.0,1.868892977653968,1.9233802059460874,0.0,-0.05448722829211937,0.7670884765088674,0.20946629331868805,0.02344523017244459,ceiling,True,1e+24,exp
Q0,0.7,21587415885.134537,5943156956230.05,1.0,1.8687833712401203,1.923317758453073,0.0,-0.054534387212952624,0.7697844053086105,0.2102024616096046,0.02001313308178511,ceiling,True,1e+24,exp
recipe,enet_trust_region,12326315484.114037,10205460332073.646,1.0,1.8201750810987078,1.934158211481972,0.0,-0.11398313038326416,0.7547743422825058,0.2061037137326096,0.039121943984884465,ceiling,True,1e+24,exp
recipe,mean_zero,37575915639.51262,3438159296643.3467,1.0,1.9199614938490186,1.9199614938490186,0.0,0.0,0.7751519021152586,0.21166814607093998,0.013179951813801253,ceiling,True,1e+24,exp
Lctx_crit,30000,17806351793.891716,4597497082015.538,1.0,1.8828743494825964,1.939862021359128,0.0,-0.05698767187653169,0.49118790248255584,0.49118790248255584,0.017624195034888282,ceiling,True,1e+24,exp
delta,-0.2285239529866762,21765007251.96648,5850097178002.916,1.0,1.869021255526981,1.9234536341922566,0.0,-0.0544323786652757,0.7639644450236527,0.20861322445445873,0.02742233052188867,ceiling,True,1e+24,pow
delta,0.0,37701544849.92718,3416852831772.1846,1.0,1.3865598793011134,1.920065629834593,0.0,-0.5335057505334797,0.7729237816959581,0.21105972065510964,0.016016497648932117,ceiling,True,1e+24,pow
delta,-0.5,35365063183.470215,3638745378863.3164,1.0,1.9172740255981295,1.9201109769317966,0.0,-0.002836951333666963,0.7721067613923687,0.21083661964420947,0.017056618963421796,ceiling,True,1e+24,pow
Q0,0.3,21801485333.400547,5831312982647.968,1.0,1.8690699379584157,1.9234814901648276,0.0,-0.05441155220641187,0.7627877067940073,0.20829189646855029,0.028920396737442598,ceiling,True,1e+24,pow
Q0,0.7,21646032451.051884,5912242656952.4375,1.0,1.8688615317899802,1.9233621359908413,0.0,-0.05450060420086101,0.7678595784653142,0.2096768555595951,0.022463565975090787,ceiling,True,1e+24,pow
recipe,enet_trust_region,12426475185.483366,10039567133117.586,1.0,1.8204022027769438,1.9341747265521394,0.0,-0.11377252377519563,0.7485385911160803,0.204400937947431,0.047060470936488685,ceiling,True,1e+24,pow
