indicator,method,mean,sd,skew,kurt,p01,p50,p99,n_detected
modernbert_readability,mad,-0.1325889681430646,0.3191314790171687,0.08937684918856198,-0.5564331563031679,-0.8279622395833334,-0.1258951822916666,0.6057922770182302,0.0
modernbert_reasoning,mad,0.07166736544249504,0.24096896591878417,-0.09307360926103829,-0.21444874649372014,-0.49267578125,0.076171875,0.6446940104166666,0.0
modernbert_professionalism,mad,-0.14617846183535416,0.1378017529556931,0.2460836879159028,-0.097729786172283,-0.4563802083333333,-0.15216064453125,0.22306318359375,6.0
qurater,mad,-0.17428984993999896,1.9019418394079424,1.018120689421885,1.3532484061396053,-3.783203125,-0.40234375,5.673789843750019,178.0
ad_en,mad,0.20896712886416818,0.15366702218549014,-0.45820381862683757,-0.49291529954066693,-0.1822509765625,0.23046875,0.48046875,0.0
dsir_books,mad,-7409.992225820716,15470.435219300634,-4.172351233656231,19.353145003033333,-102658.47463036964,-2395.40011578,-121.00058888071999,31302.0
dsir_wiki,mad,-7412.131541537233,15446.47213301631,-4.18310119490046,19.47117275188155,-102682.07325162158,-2410.21323306,-120.79589317623919,31131.0
dsir_math,mad,-6072.821866534014,11102.582689803095,-3.8241360637483446,16.561642873423786,-71776.73633919413,-2302.11769678,-116.46120661734376,29016.0
rps_doc_word_count,mad,778.1856733637919,1935.0965373769322,4.030688265771213,17.068783116782487,4.0,152.0,12000.843200000081,36023.0
rps_doc_num_sentences,mad,84.28268839103869,163.65443360249634,3.576113131316225,14.281696157864758,1.0,24.0,1012.0,35190.0
rps_doc_unigram_entropy,mad,4.110642229925792,1.0638096396597825,-0.15500902842575195,-0.3177934984800572,1.38629436,4.13445314,6.2957150028800015,0.0
rps_doc_frac_unique_words,mad,57.23268412387835,20.68377257997317,0.08528079027200901,-0.5865059816007396,14.975934925931735,56.896551724137936,100.0,0.0
rps_doc_frac_no_alph_words,mad,33.533595207257314,9.185021017699933,0.39977695668873553,-0.21409615971073848,17.04734272339613,33.16261203585147,59.63723128178592,1271.0
rps_doc_frac_chars_top_2gram,mad,3.5163736800389462,4.443011099118515,2.316914132259559,6.25425780539797,0.0,2.0,24.0,7664.0
rps_doc_frac_chars_top_3gram,mad,2.8877497448639233,4.3577745000766495,2.560338086102369,7.591336050233661,0.0,1.0,24.0,24319.0
rps_lines_uppercase_letter_fraction,mad,22.07197076160466,12.080457607618577,0.5483639872412215,-0.055401518217209844,1.3627969249468026,20.76840610846001,55.33974753812085,77.0
rps_lines_ending_with_terminal_punctution_mark,mad,30.89317635206374,21.821843233632613,1.5553976528287838,2.3881323409081663,0.0,25.0,100.0,11320.0
rps_lines_numerical_chars_fraction,mad,1.7827442551826806,2.5456460252301274,2.41807726079991,6.678464285521825,0.0,0.8166723873207329,13.76571903640637,14615.0
rps_doc_mean_word_length,mad,8.778575387929326,3.5441419042336126,1.3346466162107784,2.120985573014952,4.232762196679437,8.056603773584905,22.283585135135237,1683.0
