N,D,Q,L_total,L_classic,L_quality,L_recipe,s_train,s_attn,s_quality,regime_Q,beyond_B1,C_FLOPs,g_type,dominant,eN,eD,shift_event
258847513.5433881,3135334400.61394,1.0,3.0011767830124505,3.1510419672366847,0.0,-0.14986518422423428,0.48694410823558043,0.1329682044888625,0.380087687275557,ceiling,False,1e+19,log,train,,,False
282787402.0620059,3954320613.826919,1.0,2.9309231060314427,3.077789273481781,0.0,-0.14686616745033818,0.5031334448777248,0.1373889726812774,0.35947758244099787,ceiling,False,1.3335214321633241e+19,log,train,0.30732848437262966,0.8063040896198714,False
309382521.4973082,4973569492.820198,1.0,2.865062594551011,3.008942838541306,0.0,-0.14388024399029484,0.5191767261694116,0.141769858025994,0.3390534158045944,ceiling,False,1.7782794100389229e+19,log,train,0.31228573257175346,0.796770493905017,False
338974039.8963936,6238009664.180827,1.0,2.8032725597663246,2.9441805006502246,0.0,-0.14090794088389982,0.5350122585229892,0.14609401406067754,0.3188937274163334,ceiling,False,2.3713737056616554e+19,log,train,0.31736531713496685,0.7870228222548183,False
371946023.3751918,7801651112.562635,1.0,2.7452555328874206,2.8832059038207554,0.0,-0.1379503709333346,0.5505765310166605,0.15034409806961607,0.2990793709137235,ceiling,False,3.162277660168379e+19,log,train,0.3225078442574567,0.7771238531673225,False
408737388.63662416,9729127398.81496,1.0,2.690737369938679,2.825745995320797,0.0,-0.13500862538211772,0.5658085510843898,0.15450345501611068,0.27968799389949967,ceiling,False,4.216965034285823e+19,log,train,0.327715568879643,0.7670989235064515,False
449846274.1288984,12097583270.863115,1.0,2.6394654983278656,2.771549556240101,0.0,-0.1320840579122351,0.5806494223258192,0.15855600225643707,0.2607945754177438,ceiling,False,5.6234132519034905e+19,log,train,0.33295809444411645,0.7569978385754844,False
495838761.8367749,14998824896.283958,1.0,2.591207292549209,2.7203854974272104,0.0,-0.12917820487800133,0.5950438346923894,0.1624866364600018,0.24246952884760883,ceiling,False,7.498942093324558e+19,log,train,0.33821077318956233,0.7468689186478289,False
547357262.9197799,18541849232.17834,1.0,2.5457485673866485,2.6720413749340883,0.0,-0.12629280754743966,0.6089409507117817,0.16628147560769715,0.22477757368052126,ceiling,False,1e+20,log,train,0.343443285797805,0.7367664834074241,False
605132789.1617521,22855726113.685387,1.0,2.502892177993067,2.626321854167895,0.0,-0.1234296761748281,0.6222959282651078,0.16992827481159214,0.2077757969232999,ceiling,False,1.333521432163324e+20,log,train,0.34863840564420273,0.7267358218135748,False
