C_FLOPs,g_type,Lctx,regime_Q,budget_use,feasible,m_N_per_FLOP,m_D_per_FLOP,m_Q_per_FLOP,rel_dev_active,boundary_dir_ok,n_feas_pert,n_improve_pert,improve_rate,max_improve_rel
1e+23,log,32768.0,ceiling,1.0,True,4.778374746651891e-25,4.778371518647718e-25,1.5077568833698658e-22,2.971656912248141,True,200,0,0.0,0.0
1e+23,log,131072.0,ceiling,1.0,True,5.540285743624908e-25,5.540242741906261e-25,2.6143118779876525e-22,2.9810076720114784,True,200,0,0.0,0.0
1e+24,exp,2048.0,ceiling,1.0,True,2.9726757802529027e-26,2.9726630271715386e-26,1.9371631759600648e-24,2.8660032878334465,True,200,0,0.0,0.0
1e+24,exp,4096.0,ceiling,1.0,True,3.0012317459257614e-26,3.0012181450646776e-26,2.0073010583488104e-24,2.8693432487528376,True,200,0,0.0,0.0
1e+24,exp,8192.0,ceiling,1.0,True,3.054350484735591e-26,3.054340590862407e-26,2.1426978968993943e-24,2.8752641596226125,True,200,0,0.0,0.0
1e+24,exp,32768.0,ceiling,1.0,True,3.299908849657045e-26,3.299890432745174e-26,2.856911405197483e-24,2.8983920980734292,True,200,0,0.0,0.0
1e+24,exp,131072.0,ceiling,1.0000000000000002,True,3.8274390082991215e-26,3.827433130784145e-26,4.9603824904112846e-24,2.931611303865161,True,200,0,0.0,0.0
1e+24,pow,2048.0,ceiling,1.0000000000000002,True,2.982004886368305e-26,2.981953798531711e-26,2.3718992018274587e-24,2.889626529606367,True,200,0,0.0,0.0
1e+24,pow,4096.0,ceiling,1.0000000000000002,True,3.010344245763541e-26,3.010295230402661e-26,2.4568574188049253e-24,2.892363459465428,True,200,0,0.0,0.0
1e+24,pow,8192.0,ceiling,1.0,True,3.063090446031926e-26,3.063028990009939e-26,2.62082867396201e-24,2.897216548916767,True,200,0,0.0,0.0
1e+24,pow,32768.0,ceiling,1.0,True,3.3071027749653307e-26,3.3070907217248633e-26,3.485832601236583e-24,2.9162047690604838,True,200,0,0.0,0.0
1e+24,pow,131072.0,ceiling,1.0000000000000002,True,3.8324093356196526e-26,3.83240555118193e-26,6.032551063666457e-24,2.943541436260283,True,200,0,0.0,0.0
1e+24,log,2048.0,ceiling,1.0,True,2.9433112656329623e-26,2.943269614305798e-26,2.4853726533303578e-23,2.9893670031930135,True,200,0,0.0,0.0
1e+24,log,4096.0,ceiling,1.0,True,2.972569815870326e-26,2.9725306877101883e-26,2.5785473151653888e-23,2.989648685594248,True,200,0,0.0,0.0
1e+24,log,8192.0,ceiling,1.0,True,3.0269417367116684e-26,3.0269007633435227e-26,2.758422679682016e-23,2.9901456100018913,True,200,0,0.0,0.0
1e+24,log,32768.0,ceiling,1.0,True,3.2773853310620016e-26,3.2773546610096763e-26,3.7077091065545573e-23,2.9920586460257343,True,200,0,0.0,0.0
1e+24,log,131072.0,ceiling,1.0000000000000002,True,3.8119993368942303e-26,3.811995724024358e-26,6.505281194201907e-23,2.9947323089530937,True,200,0,0.0,0.0
